"","desc","Concept","Domain","Gini_Types"
"57","PCT Graduate Professional Degree","Family","Education",0.355259938430054
"53","PCT Less Than High School Graduate","Family","Education",0.326790000756763
"56","PCT Bachelor Degree","Family","Education",0.258401774903174
"54","PCT High School Graduate","Family","Education",0.157134750343924
"55","PCT Some College Associate Degree","Family","Education",0.0828417043466132
